Price,Close,High,Low,Open,Volume,daily_return
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2020-01-02,296.8881530761719,296.90644827655234,294.74970630853255,295.672721478946,59151200,
2020-01-03,294.64007568359375,295.7641429457349,293.4429112798059,293.4977411082979,77709700,-0.0075721357328844
2020-01-06,295.7641906738281,295.84643542983815,292.76667749107014,292.88548476831755,55653900,0.0038152141646934368
2020-01-07,294.93255615234375,295.67278681667864,294.4847419794395,295.19755772617054,40496400,-0.002811816128212463
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000,0.005329484134990903
2020-01-09,298.5149230957031,298.5880481404525,297.48224797862525,298.06713678048754,48473300,0.0067807715552803405
2020-01-10,297.65582275390625,299.2550911321721,297.1897692196359,299.09974925042434,53029300,-0.0028779142191207585
2020-01-13,299.70294189453125,299.71206160755526,297.84779146443003,298.2773104255387,47086800,0.006877470501618577
2020-01-14,299.2459411621094,300.3151505804677,298.6884674529028,299.264208473107,62832800,-0.0015248456672897204
2020-01-15,299.92218017578125,300.6806779375008,299.0722900853066,299.1545348144793,72056600,0.0022598101449453623
2020-01-16,302.41705322265625,302.41705322265625,301.07366684721774,301.3021337281493,54050300,0.008318401278000875
2020-01-17,303.35833740234375,303.56850908503526,302.353077542655,303.12987052009737,95846000,0.0031125367093451928
2020-01-21,302.7643127441406,303.5685206625626,302.32567416247394,302.39877129641013,77742400,-0.0019581616358058662
2020-01-22,302.8009338378906,304.2722754026212,302.64559193983825,303.62340922666306,48914900,0.00012095578048176847
2020-01-23,303.1480407714844,303.55929218346665,301.0370096865402,302.15192883049895,51963000,0.0011463205519028907
2020-01-24,300.4522705078125,303.8884219479204,299.16371371777205,303.80617720247466,87578400,-0.00889258679294569
2020-01-27,295.63616943359375,297.116630487524,294.86852399411237,295.2066505448216,84062500,-0.01602950467333386
2020-01-28,298.7341613769531,299.6114663707145,295.72752948381543,297.0617682289767,63834000,0.010479069422712373
2020-01-29,298.4874267578125,300.32430953188833,298.2863747731424,300.0958426351734,53888900,-0.0008259337265057454
2020-01-30,299.45611572265625,299.6663153017545,295.67271852206113,296.42206872649126,75491800,0.0032453258596709667
2020-01-31,294.01861572265625,298.99005740584477,293.10474817632047,298.834687651797,113845600,-0.01815791935615696
2020-02-03,296.2028503417969,298.0671486104335,295.38037483443884,295.49918212009703,69083000,0.007428899064000127
2020-02-04,300.71722412109375,301.58540936360026,299.4926450715204,299.81250426028714,62573200,0.015240818155826785
2020-02-05,304.18994140625,304.4001409842499,302.1885971158361,303.6507628947107,65951100,0.011548115660171998
2020-02-06,305.21343994140625,305.40534428374525,304.135055229123,305.1494625309535,50359700,0.003364669227472472
2020-02-07,303.5868225097656,305.22262540475447,303.038496381652,304.15341594950706,64139400,-0.005329442346814428
2020-02-10,305.8531799316406,305.91715735245873,302.66379115886144,302.70035366918944,42070000,0.007465269418280185
2020-02-11,306.3833312988281,307.99171968195316,305.85327235048885,307.2058067510786,54864500,0.001733352477505612
2020-02-12,308.3572998046875,308.56747155956106,307.4525516757261,307.81809323505837,43992700,0.006442806459121986
2020-02-13,308.0281982421875,308.99689562686603,306.6573968990736,306.9315460120865,54501900,-0.0010672734607173329
2020-02-14,308.5216979980469,308.6405052446944,307.2422889745831,308.4394532632197,64582200,0.0016021252556603915
2020-02-18,307.7266845703125,308.58572245034776,306.33758779968736,307.52563255819723,57226200,-0.0025768476995073897
2020-02-19,309.197998046875,309.87425122864335,308.4120852020123,308.69538196134926,48814700,0.004781234616090924
2020-02-20,307.9277648925781,309.4722036983125,304.9393993518931,308.64970037102154,74163400,-0.004108154523381868
2020-02-21,304.7566223144531,306.88592186587607,303.9341190417113,306.57521018265294,113788200,-0.010298332724985926
2020-02-24,294.6492004394531,304.82967088286625,293.5708154883239,295.3071862193686,161088400,-0.03316555288689016
2020-02-25,285.72076416015625,296.65061531833436,284.8434588747355,296.0383395057608,218913200,-0.030301919251708775
2020-02-26,284.66973876953125,290.71038982346295,283.938655892988,287.1188970838777,194773800,-0.003678505458692749
2020-02-27,271.8847351074219,284.72456262234533,271.8847351074219,279.14996516623097,284353500,-0.04491170616649254
2020-02-28,270.742431640625,272.23204033235453,260.9457695802284,263.833594623337,384975800,-0.004201425528158276
2020-03-02,282.4673767089844,282.53135414421934,269.0974871963839,272.5244912250123,238703600,0.043306640179411104
2020-03-03,274.3795471191406,286.8081496933254,271.93953670902624,282.8419684102805,300139100,-0.028632791807941538
2020-03-04,285.9126281738281,286.1319753809504,277.20347032348707,279.753168952443,176613400,0.04203331179666847
2020-03-05,276.4083557128906,281.90070830188273,274.1693970755827,278.71131965746457,186366800,-0.033241877148424304
2020-03-06,271.83905029296875,273.0453622263488,265.23180535005173,267.9002831419246,228667200,-0.01653099599010699
2020-03-09,250.60997009277344,259.71208532700234,249.8971543435091,251.58778741680635,309417300,-0.07809429946623236
2020-03-10,263.5777587890625,263.66912325632626,249.94283916733423,260.12333967774066,276444100,0.05174490341101956
2020-03-11,250.72869873046875,257.6558306839711,247.54845736466214,256.5226437962952,255316300,-0.04874865055999156
2020-03-12,226.7397003173828,243.69194779831977,226.3467299817304,233.95011542645673,392220700,-0.09567711448490346
2020-03-13,246.12281799316406,248.09677526977262,227.11436995312613,240.42941305337604,329566100,0.08548621017249913
2020-03-16,219.19117736816406,234.7726107780124,216.91564173418007,220.40660915986865,297240000,-0.10942358308991895
2020-03-17,231.0257568359375,234.10550046036911,216.65062185131984,223.93413457519435,262070500,0.05399204297304139
2020-03-18,219.3282012939453,226.97726785182797,208.3800724838191,215.90119814872742,327597100,-0.050633122913213424
2020-03-19,219.79429626464844,226.07257629627384,212.21833983048688,218.6428280834812,289322000,0.002125102781828092
2020-03-20,210.32240295410156,224.72691180558704,210.04662777098238,222.94358151812597,347158800,-0.043094354455595285
2020-03-23,204.9448699951172,211.13136077030381,200.63362552870024,209.761700043424,326025200,-0.0255680464061544
2020-03-24,223.51356506347656,224.38685570948732,214.91866545634184,215.48859069772814,235494500,0.09060336601156083
2020-03-25,226.8595733642578,235.64753271475618,220.3881202388159,225.09463160277366,299430300,0.014970045777002339
2020-03-26,240.1058807373047,241.57664463189138,228.93708857476466,229.36913318338085,257632800,0.05838989810572337
2020-03-27,232.95416259765625,239.7473562360883,230.77556488684385,232.8162819931154,224341200,-0.029785685038980825
2020-03-30,240.51953125,241.2365384930664,233.0552948085847,235.05004716701424,171369500,0.032475782222488814
2020-03-31,236.93447875976562,242.06383359967347,235.52804049293425,239.5175449357564,194881100,-0.014905452674061737
2020-04-01,226.27130126953125,236.85178045649488,224.20300778799435,227.95351498436278,189554600,-0.0450047521409751
2020-04-02,231.49253845214844,232.27388514188416,224.83722638514368,225.38877677619993,177660400,0.02307511890956837
2020-04-03,228.1465301513672,232.86224312191504,225.41638201331432,230.50897330571124,135561200,-0.014454065444847619
2020-04-06,243.47027587890625,245.43746603844804,228.12814793015815,237.01721102821946,188061200,0.06716624494517753
2020-04-07,243.71849060058594,252.81897536266575,243.49788162912452,252.0651906394755,201427200,0.00101948675575958
2020-04-08,251.89976501464844,253.7106720203933,243.82882519351205,246.31996198060406,153774500,0.03356854210733751
2020-04-09,255.73292541503906,258.49064914825794,253.22338671872393,255.16297227897329,189999200,0.015217006654085985
2020-04-13,253.39810180664062,255.09870410198187,249.4913256390023,254.75858925351815,114839100,-0.009129929611563115
2020-04-14,260.87158203125,261.89192674380104,253.260262690421,258.2885153744186,134143400,0.029493039495268825
2020-04-15,255.32852172851562,261.0094273258755,253.21424949877317,255.1538636035753,121775000,-0.021248233554509444
2020-04-16,256.560302734375,257.4151905782351,253.49003955687044,256.6062535871755,131798300,0.004824298505785807
2020-04-17,263.4913635253906,264.09803815159717,259.5937609848719,262.33311040568213,146684800,0.027015328237243175
2020-04-20,258.8492126464844,263.6292797051415,258.6286036617239,259.786828884741,100109300,-0.01761784833019364
2020-04-21,250.9897003173828,255.5859076947366,250.05205605846757,254.38170360611178,126385700,-0.030363284665792856
2020-04-22,256.560302734375,258.30685593614993,254.5471616484955,255.87087162422512,92951600,0.022194545871595528
2020-04-23,256.54193115234375,261.00945987704335,256.2385937703153,257.8380651634286,104709700,-7.16072667339418e-05
2020-04-24,260.11773681640625,260.7887931290741,256.00872668784143,258.0586450832086,85063200,0.013938484239206295
2020-04-27,263.86822509765625,264.9897006956838,261.6344752923047,262.09409597915175,77896600,0.014418425775775345
2020-04-28,262.6548156738281,267.866897915382,262.3514503479287,267.5175817476273,105270000,-0.004598543168200853
2020-04-29,269.5307312011719,271.0658765011641,266.9568668064149,267.9864125643177,118745600,0.026178524500698463
2020-04-30,267.0212707519531,269.63191314520935,265.2838909183048,268.1519197995434,122901700,-0.00931047987750877
2020-05-01,259.9523010253906,267.18672684650835,258.78484641412496,262.26877941171466,125180000,-0.026473433021480752
2020-05-04,260.6693115234375,260.9726488665371,256.58787713450204,258.06784244223917,80873200,0.002758238704633875
2020-05-05,263.0777893066406,265.89066671721116,260.79805974874677,263.4914593006196,79569900,0.009239590840698364
2020-05-06,261.29437255859375,265.1643710660051,260.8623279708527,264.77830538088773,73632600,-0.006779047188845477
2020-05-07,264.44744873046875,266.3778619344867,263.9418770105494,264.5118023829765,75250400,0.012067141519352731
2020-05-08,268.82293701171875,269.29175906737254,266.45127866866704,267.5819556045888,76452400,0.016545776116409394
2020-05-11,268.87811279296875,270.2569749098558,266.4697047839562,266.89254797828886,79514200,0.00020524952916356476
2020-05-12,263.5189208984375,270.4775563533977,263.38101225836226,270.0639145922281,95870800,-0.0199316777362899
2020-05-13,258.8583679199219,263.9969236633219,256.43155730782263,262.95817645676516,144721100,-0.017685838127395215
2020-05-14,261.956298828125,262.08497807386146,250.94377356421734,256.42247409481166,121977900,0.011967667621088696
2020-05-15,263.1604309082031,263.2063817576998,258.61937607827673,259.56619361268525,111146300,0.004596690690259697
2020-05-18,271.17626953125,272.7849423166049,269.0620250917087,269.383737206358,119703800,0.030459893211844502
2020-05-19,268.3909606933594,272.28853594964113,268.3725859611599,270.5787601052246,95189300,-0.010271211572846162
2020-05-20,272.95037841796875,273.81446769296434,271.7002234133943,271.9300337939139,85861700,0.01698797050701928
2020-05-21,271.06591796875,273.63060941899073,269.97201842037936,272.82167247031106,78293900,-0.006904040434533076
2020-05-22,271.5806884765625,271.75534659131654,269.5399713937195,270.78095292638466,63958200,0.0018990602421358194
2020-05-26,274.92669677734375,277.7855520274972,271.59904750423533,277.54654029417327,88951400,0.012320494213159172
2020-05-27,279.0173645019531,279.0541420158943,272.8952128963509,277.7212306525081,104817400,0.014879121498783787
